date,people_vaccinated,people_fully_vaccinated,total_boosters
2021-10-17,23236666,20925569,705 534
2021-10-19,23333590,21116355,784 478
2021-10-24,23662317,21449332,982 640
2021-10-26,24053942,21835545,1 148 838
2021-10-31,24198013,22041110,1 394 802
2021-11-02,24259320,22144227,1 464 443
2021-11-06,24311560,22253789,"1 518 576 "
2021-11-14,24458506,22490963,"1 571 072 "
2021-11-17,24477239,22587253,1 594 291
2021-11-21,24484400,22625602,1 602 391
2021-11-24,24498454,22692532,"1 625 923 "
2021-11-28,24507912,22730482,"1 641 746 "
2021-11-29,24517118,22764566,"1 654 400 "
2021-12-04,24529352,22802956,1 758 445
2021-12-08,24547579,22844707,"1 896 565 "
2021-12-12,24561724,22872596,1 979 811
2021-12-14,24573352,22895600,2 099 402
2021-12-19,24592087,22929634,"2 303 525 "
2021-12-22,24610902,22963095,"2 533 514 "
2021-12-27,24630172,22994609,2 738 512
2022-01-02,24658655,23031985,3 005 363
2022-01-04,24670739,23047095,3 184 255
2022-01-10,24695000,23079874,"3 525 886 "
2022-01-12,24701243,23088979,"3 628 856 "
2022-01-16,24710686,23106382,"3 786 619 "
2022-01-18,24720297,23120262,3 921 889
2022-01-22,24733639,23142106,"4 111 342 "
2022-01-25,24741440,23154349,"4 226 358 "
2022-01-26,24744892,23159603,4 269 522
2022-01-30,24752462,23171492,"4 376 913 "
2022-02-01,24760419,23182509,4 510 819
2022-02-06,24774356,23201517,4 725 899
2022-02-13,24800057,23234829,5 089 940
